user,impact
hechadwick3,1.2
howhigh,0.30000000000000004
BGreif,0.1
Franchute,0.5
Sam123,0.0
einuesse,1.7999999999999998
devin_khan,0.0
9595mayerantal,0.2
Stingraysstudios,0.8
hnut,0.6000000000000001
slick_nick,5.1
rayacox,0.1
vitriolic1,4.699999999999999
candyrod,0.2
King.Kiq,0.1
ely862me,1.5
aeolus,0.5
Aurel,3.0
Dias,0.0
moorecars,0.6
guakamolie,0.1
DAVID-N,10.200000000000001
charlesm0428,0.1
nfreytag,10.7
Roderek,0.0
Kokorba6iqta,0.30000000000000004
kurtvargas,1.0
Chalk.,0.9
awest,0.0
jdarl79,1.0
Ellocomotive,0.7
Haleewood,0.9
joeberger2004,0.8
jakeiarnold,0.4
ericthedesigner,0.5
UAV_engineer,1.7999999999999998
romanbasti,0.0
emdesigns,0.1
Clancey,0.7
KEKOEV,0.30000000000000004
vasilatos_ianis,3.4
rossionmike,0.0
KPisani,0.0
AlexFi,3.9
alxart,0.5
vengaspeed,0.2
aradiel83,0.0
texas_mike,0.1
Tym,0.5
MichaelIsBest,0.0
